date,revenue,order_count,items_sold,unique_customers,revenue_lag_1,orders_lag_1,revenue_lag_7,orders_lag_7,revenue_lag_14,orders_lag_14,revenue_lag_30,orders_lag_30,revenue_rolling_mean_7,revenue_rolling_std_7,revenue_rolling_min_7,revenue_rolling_max_7,revenue_rolling_mean_14,revenue_rolling_std_14,revenue_rolling_min_14,revenue_rolling_max_14,revenue_rolling_mean_30,revenue_rolling_std_30,revenue_rolling_min_30,revenue_rolling_max_30,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_month_start,is_month_end,is_holiday_season,revenue_growth_1d,revenue_growth_7d,revenue_growth_30d,cumulative_revenue,cumulative_orders
2017-02-22,9393.369999999999,63,68.0,61,9333.46,41.0,8326.4,62.0,14299.97,95.0,7553.889999999999,39.0,8071.485714285714,1700.6912303517238,4477.65,9333.46,10575.032857142856,3838.005221422727,4477.65,16682.29,10866.328666666666,3459.1777639927104,4477.65,16682.29,2,22,8,2,1,2017,0,0,0,0,0.006418841458580182,0.12814301498847036,0.2435142688071974,442074.55000000005,2599
2017-02-23,8571.86,59,73.0,57,9393.369999999999,63.0,7803.719999999999,55.0,10844.17,77.0,6794.5,40.0,8223.91,1773.5965624308951,4477.65,9393.369999999999,10224.561428571427,3692.979205027699,4477.65,16682.29,10927.644666666665,3414.451947954139,4477.65,16682.29,3,23,8,2,1,2017,0,0,0,0,-0.08745636550034741,0.0984325424284831,0.26158804915740674,450646.41000000003,2658
2017-02-24,7983.01,64,73.0,64,8571.86,59.0,8093.57,46.0,15674.09,66.0,10434.31,63.0,8333.644285714285,1767.0166415822437,4477.65,9393.369999999999,10062.253571428571,3713.5296684226823,4477.65,16682.29,10986.889999999998,3355.168515816178,4477.65,16682.29,4,24,8,2,1,2017,0,0,0,0,-0.06869570898264787,-0.01366022657492294,-0.23492689023040325,458629.42000000004,2722
2017-02-25,5126.18,43,46.0,43,7983.01,64.0,9308.3,54.0,5648.37,49.0,15191.96,86.0,8317.85,1770.0117416371434,4477.65,9393.369999999999,9512.890714285715,3372.733265266895,4477.65,16682.29,10905.179999999998,3398.656793454813,4477.65,16682.29,5,25,8,2,1,2017,1,0,0,0,-0.35786376316702595,-0.449289343918868,-0.6625728345782901,463755.60000000003,2765
2017-02-26,6583.5,46,52.0,46,5126.18,43.0,4477.65,40.0,16682.29,64.0,12904.13,62.0,7720.404285714286,2061.7478793882456,4477.65,9393.369999999999,9475.591428571428,3421.2966395794715,4477.65,16682.29,10569.654,3457.21733490629,4477.65,16682.29,6,26,8,2,1,2017,1,0,0,0,0.284289665989099,0.4703025024287295,-0.489814501248825,470339.10000000003,2811
2017-02-27,6836.77,43,53.0,43,6583.5,46.0,9157.3,63.0,13092.09,78.0,5909.98,29.0,8021.24,1614.951341754096,5126.18,9393.369999999999,8754.249285714284,2791.629311419471,4477.65,15309.08,10358.966333333334,3502.3448601004866,4477.65,16682.29,0,27,9,2,1,2017,0,0,0,0,0.038470418470418544,-0.25340766383104174,0.15681778956950798,477175.87000000005,2854
2017-02-28,12582.52,55,67.0,55,6836.77,43.0,9333.46,41.0,15309.08,76.0,7160.66,35.0,7689.7357142857145,1580.689629801476,5126.18,9393.369999999999,8307.440714285714,2532.503457610101,4477.65,15309.08,10389.859333333334,3465.6438041795086,4477.65,16682.29,1,28,9,2,1,2017,0,0,1,0,0.840418794255182,0.3481088470942182,0.7571732214628262,489758.3900000001,2909
2017-03-01,18923.170000000002,99,113.0,98,12582.52,55.0,9393.369999999999,63.0,8326.4,62.0,12187.9,53.0,8153.887142857144,2405.5813896417008,5126.18,12582.52,8112.686428571427,2001.8990961108193,4477.65,12582.52,10570.588,3432.652886225623,4477.65,16682.29,2,1,9,3,1,2017,0,1,0,0,0.5039252868264863,1.0145240738946728,0.5526194012093963,508681.56000000006,3008
2017-03-02,13146.36,72,76.0,72,18923.170000000002,99.0,8571.86,59.0,7803.719999999999,55.0,13021.73,70.0,9515.287142857143,4764.245248325331,5126.18,18923.170000000002,8869.598571428573,3518.072653648817,4477.65,18923.170000000002,10795.097,3747.8631544545856,4477.65,18923.170000000002,3,2,9,3,1,2017,0,0,0,0,-0.30527707566966844,0.5336648055381212,0.009570924907827294,521827.92000000004,3080
2017-03-03,14154.71,74,80.0,71,13146.36,72.0,7983.01,64.0,8093.57,46.0,10310.99,73.0,10168.787142857143,4924.317148721282,5126.18,18923.170000000002,9251.215714285714,3679.6175149091728,4477.65,18923.170000000002,10799.251333333332,3750.4845385121707,4477.65,18923.170000000002,4,3,9,3,1,2017,0,0,0,0,0.07670183990093071,0.7731043804279336,0.37277894751134455,535982.63,3154
